track_id,parent.genre
2,21
3,21
5,21
10,10
20,17
26,17
30,17
46,17
48,17
134,21
135,12
136,12
137,38
138,38
139,17
140,17
141,17
142,17
144,4
145,4
146,4
147,4
148,38
149,38
150,38
151,12
152,12
153,12
154,12
155,12
156,38
157,38
158,38
159,38
160,38
161,38
162,38
163,38
164,38
165,38
166,38
167,38
168,38
169,12
170,12
171,12
172,12
173,12
174,12
175,12
176,12
177,12
178,12
179,12
181,12
182,12
183,12
184,12
185,10
188,17
189,17
190,17
191,17
192,17
193,17
194,17
195,17
196,17
197,17
198,17
199,17
200,17
201,17
202,17
203,17
204,17
205,17
206,17
207,17
208,17
209,17
210,17
211,17
212,17
213,10
226,12
228,12
236,2
237,4
238,4
246,10
247,12
248,10
249,12
250,10
251,10
252,12
253,10
254,10
255,12
256,12
257,12
258,12
273,38
274,38
275,38
276,38
277,38
281,38
282,38
284,38
285,38
293,38
294,38
297,38
300,38
303,12
304,12
305,12
306,12
307,12
308,12
309,12
310,12
311,12
312,12
313,12
314,12
315,12
316,12
317,12
318,12
319,12
320,12
321,12
322,12
323,12
324,12
325,12
326,12
327,12
328,12
330,12
331,12
332,12
333,12
334,12
335,12
336,12
337,12
338,12
339,12
340,12
341,12
342,12
343,12
344,12
345,12
346,12
347,12
348,12
349,12
350,12
351,12
352,12
353,12
354,12
355,12
356,12
357,12
358,12
359,12
360,12
361,12
362,12
363,12
364,12
365,12
366,12
367,12
368,12
369,12
370,12
371,12
384,15
385,15
386,15
387,15
393,12
394,12
395,12
396,15
397,15
398,15
399,15
400,15
401,15
402,15
403,15
404,15
405,15
406,15
407,15
408,15
410,15
411,15
412,15
414,15
416,15
417,38
418,1235
419,38
420,1235
421,38
422,1235
423,1235
424,38
425,38
426,38
427,38
428,38
429,38
430,38
431,38
432,38
433,38
434,38
435,38
436,38
437,38
438,38
439,38
440,4
441,4
442,4
443,4
444,4
445,4
446,4
447,4
448,4
449,4
450,4
451,4
452,4
458,12
459,12
461,3
462,3
463,3
464,3
465,3
466,12
467,12
468,12
469,12
470,12
471,12
472,12
473,12
474,12
475,12
476,12
477,12
478,12
479,12
480,12
481,12
482,12
483,12
484,12
485,12
486,12
487,12
489,12
490,12
491,12
492,12
493,12
495,12
496,12
497,12
498,12
500,12
501,12
502,12
503,12
504,12
506,12
507,12
508,12
509,12
510,12
511,12
512,12
513,12
514,12
515,12
516,12
517,12
520,12
521,12
522,12
523,12
524,12
525,12
526,12
527,12
528,12
529,12
530,12
531,12
532,15
533,15
534,17
535,17
536,17
537,17
538,17
539,17
540,17
541,17
542,17
543,17
544,17
545,17
546,17
547,17
548,17
549,17
550,15
554,17
555,17
556,17
557,17
558,17
559,17
560,17
561,17
562,12
563,12
564,12
565,12
566,12
567,12
568,12
569,12
570,12
571,12
572,12
573,12
574,12
575,12
576,12
577,12
578,12
579,12
580,12
583,21
584,21
585,21
586,21
587,38
588,38
589,38
590,4
591,4
592,4
593,4
601,17
602,17
603,17
604,17
605,12
606,12
607,12
608,12
609,12
610,17
611,17
612,17
614,17
615,38
616,38
617,17
618,17
619,17
620,17
621,17
622,17
623,17
624,17
625,17
626,17
627,17
628,17
629,17
630,17
631,17
633,12
634,12
635,12
637,38
638,38
639,38
640,20
641,15
642,15
643,15
644,15
645,15
646,15
647,15
648,15
649,15
650,15
651,15
652,15
653,15
654,15
655,15
656,15
657,15
658,15
659,15
660,15
661,15
662,15
663,15
664,15
665,15
666,2
667,2
668,21
669,21
670,21
671,21
672,21
673,21
674,21
675,21
676,21
677,21
678,21
679,21
680,21
681,21
682,21
683,21
684,21
685,21
686,21
687,21
688,21
689,21
690,12
691,12
692,12
693,12
694,21
695,21
696,12
697,12
698,12
699,12
700,12
701,12
702,12
703,12
704,2
705,2
706,2
707,2
708,2
709,2
711,12
712,12
713,12
714,17
715,17
716,17
717,17
718,17
719,12
720,12
721,12
722,12
723,12
725,38
726,38
727,38
728,38
729,38
730,38
731,38
734,14
735,14
736,14
737,14
738,14
739,14
740,14
741,14
742,14
743,14
744,14
745,14
747,14
748,14
749,14
750,14
751,14
752,14
753,14
754,14
755,14
756,14
757,14
758,14
759,14
760,14
761,14
762,14
763,14
764,14
765,14
766,14
767,14
768,14
769,14
770,14
771,14
772,14
773,14
774,14
775,14
776,14
777,12
778,12
779,12
780,12
781,12
782,12
783,12
784,12
785,12
786,12
787,12
788,12
789,12
790,12
791,12
792,12
793,12
794,12
795,12
796,12
797,12
798,12
799,38
800,38
801,38
803,12
804,12
805,12
806,12
807,12
814,17
815,38
816,38
817,38
818,38
819,38
820,38
821,10
822,10
823,10
824,12
825,12
826,12
827,12
828,12
829,12
830,12
831,4
832,4
833,4
834,4
835,4
836,12
837,12
838,12
839,12
840,12
841,12
842,12
843,12
844,12
845,12
846,12
847,10
850,12
851,12
852,12
853,2
854,38
855,12
856,12
857,12
858,12
859,12
860,12
861,12
862,12
863,12
864,38
866,38
868,38
869,38
870,38
871,1235
872,1235
873,1235
874,15
875,15
876,15
877,15
878,15
879,15
880,15
881,15
882,15
883,15
885,15
886,15
887,15
888,15
889,15
890,17
891,17
892,17
893,17
894,17
895,17
896,12
897,38
898,38
899,38
900,1235
901,1235
902,1235
903,1235
904,20
905,20
906,20
907,20
908,20
909,20
910,20
911,20
912,20
913,20
914,20
915,20
916,20
917,20
918,20
919,20
920,20
921,20
922,20
923,20
924,20
925,20
926,20
927,20
928,20
929,20
930,20
931,20
932,20
933,20
934,20
935,20
936,20
937,20
938,20
939,20
940,20
941,20
942,20
943,20
944,20
945,20
946,20
947,20
948,20
949,20
950,20
951,20
952,20
953,20
954,20
955,20
956,20
